,,3b. N2O from Manure Management in Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N2O from Manure Management,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Number of Animals      ('000 head),,Total K-Nitrogen Excreted (kg),,Unvolatilized N from Manure in Anaerobic Lagoons and Liquid Systems (kg),,"Unvolatilized N from Manure in Solid Storage, Drylot & Other Systems (kg)",,Emissions from Anaerobic Lagoons and Liquid Systems      (kg N2O-N),,"Emissions from Solid Storage, Drylot, & Other Systems           (kg N2O-N)",,Total N2O Emissions       (kg N2O),,Emissions (MTCE),,Emissions (MMTCE),,Emissions  (MMTCO2E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dairy Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990,Dairy Cows,715.0,," 104,196,335 ",," 14,855,672 ",," 46,084,916 ",," 14,856 ",+," 921,698 ", = ," 1,471,728 ", = ," 106,366 ", = , 0.10637 , = , 0.39001 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1990,Dairy Replacement Heifers,310.0,," 24,519,933 ",, NA ,," 14,269,099 ",, NA ,+," 285,382 ", = ," 448,457 ", = ," 32,411 ", = , 0.03241 , = , 0.11884 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,Beef Cattle,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1990,Feedlot Heifers,82.4,," 4,694,967 ",, NA ,," 4,694,967 ",, NA ,+," 93,899 ", = ," 147,556 ", = ," 10,664 ", = , 0.01066 , = , 0.03910 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1990,Feedlot Steer,164.0,," 9,760,324 ",, NA ,," 9,760,324 ",, NA ,+," 195,206 ", = ," 306,753 ", = ," 22,170 ", = , 0.02217 , = , 0.08129 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,Swine,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
