"","sector","kwh_delivered","util_reported_co2e","mWh_delivered","city_name","utility_name","year","source","sector_mapped","ctu_class","ctu_name"
"1","Business *",NA,NA,NA,"City of Apple Valley","Xcel Energy",2015,"Electricity","Business","CITY","Apple Valley"
"2","Residential",NA,NA,NA,"City of Apple Valley","Xcel Energy",2015,"Electricity","residential","CITY","Apple Valley"
"3","Street Lighting - Non-Metered/Customer Owned",5108,2.073848,5.108,"City of Apple Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Apple Valley"
"4","Street Lighting - Non-Metered/Xcel-Owned",10869,4.412814,10.869,"City of Apple Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Apple Valley"
"5","Business *",8002540,3249.03124,8002.54,"City of Big Lake","Xcel Energy",2015,"Electricity","Business","CITY","Big Lake"
"6","Residential",12555109,5097.374254,12555.109,"City of Big Lake","Xcel Energy",2015,"Electricity","residential","CITY","Big Lake"
"7","Street Lighting - Metered",23423,9.509738,23.423,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"8","Street Lighting - Non-Metered/Customer Owned",4351,1.766506,4.351,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"9","Street Lighting - Non-Metered/Xcel-Owned",174064,70.669984,174.064,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"10","Business *",78561015.01,31895.77209406,78561.01501,"City of Blaine","Xcel Energy",2015,"Electricity","Business","CITY","Blaine"
"11","Residential",23989087,9739.569322,23989.087,"City of Blaine","Xcel Energy",2015,"Electricity","residential","CITY","Blaine"
"12","Street Lighting - Metered",60173,24.430238,60.173,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"13","Street Lighting - Non-Metered/Customer Owned",65518,26.600308,65.518,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"14","Street Lighting - Non-Metered/Xcel-Owned",128197,52.047982,128.197,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"15","Business",1088474312.02,441920.57068012,1088474.31202,"City of Bloomington","Xcel Energy",2015,"Electricity","Business","CITY","Bloomington"
"16","Residential",262146965.09,106431.66782654,262146.96509,"City of Bloomington","Xcel Energy",2015,"Electricity","residential","CITY","Bloomington"
"17","Street Lighting - Metered",1708640,693.70784,1708.64,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"18","Street Lighting - Non-Metered/Customer Owned",1309494,531.654564,1309.494,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"19","Street Lighting - Non-Metered/Xcel-Owned",1910784,775.778304,1910.784,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"20","Business",146818989.84,59608.50987504,146818.98984,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","Business","CITY","Brooklyn Center"
"21","Residential",77529013.92,31476.77965152,77529.01392,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","residential","CITY","Brooklyn Center"
"22","Street Lighting - Metered",764477,310.377662,764.477,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"23","Street Lighting - Non-Metered/Customer Owned",135161,54.875366,135.161,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"24","Street Lighting - Non-Metered/Xcel-Owned",573754,232.944124,573.754,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"25","Commercial",166474312.9,67588.5710374,166474.3129,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"26","Industrial",229986381,93374.470686,229986.381,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","industrial","CITY","Brooklyn Park"
"27","Residential",217900066.18,88467.42686908,217900.06618,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","residential","CITY","Brooklyn Park"
"28","Street Lighting - Metered",856121,347.585126,856.121,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"29","Street Lighting - Non-Metered/Customer Owned",791571,321.377826,791.571,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"30","Street Lighting - Non-Metered/Xcel-Owned",1636987,664.616722,1636.987,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"31","Commercial",41869165,16998.88099,41869.165,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"32","Industrial",65562499,26618.374594,65562.499,"City of Burnsville","Xcel Energy",2015,"Electricity","industrial","CITY","Burnsville"
"33","Residential",38833172.02,15766.26784012,38833.17202,"City of Burnsville","Xcel Energy",2015,"Electricity","residential","CITY","Burnsville"
"34","Street Lighting - Metered",147142,59.739652,147.142,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"35","Street Lighting - Non-Metered/Customer Owned",22148,8.992088,22.148,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"36","Street Lighting - Non-Metered/Xcel-Owned",278084,112.902104,278.084,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"37","Business",589213438,398308.284088,589213.438,"City of Centennial","Xcel Energy",2015,"Electricity","Business","CITY","Centennial"
"38","Residential",247831467.01,167534.07169876,247831.46701,"City of Centennial","Xcel Energy",2015,"Electricity","residential","CITY","Centennial"
"39","Street Lighting - Metered",30567,20.663292,30.567,"City of Centennial","Xcel Energy",2015,"Electricity","commercial","CITY","Centennial"
"40","Street Lighting - Non-Metered/Xcel-Owned",1557958,1053.179608,1557.958,"City of Centennial","Xcel Energy",2015,"Electricity","commercial","CITY","Centennial"
"41","Business *",2907160,1180.30696,2907.16,"City of Cologne","Xcel Energy",2015,"Electricity","Business","CITY","Cologne"
"42","Residential",4816974.01,1955.69144806,4816.97401,"City of Cologne","Xcel Energy",2015,"Electricity","residential","CITY","Cologne"
"43","Street Lighting - Metered",31447,12.767482,31.447,"City of Cologne","Xcel Energy",2015,"Electricity","commercial","CITY","Cologne"
"44","Street Lighting - Non-Metered/Xcel-Owned",66621,27.048126,66.621,"City of Cologne","Xcel Energy",2015,"Electricity","commercial","CITY","Cologne"
"45","Business",47715964.86,19372.68173316,47715.96486,"City of Columbia Heights","Xcel Energy",2015,"Electricity","Business","CITY","Columbia Heights"
"46","Residential",52481903,21307.652618,52481.903,"City of Columbia Heights","Xcel Energy",2015,"Electricity","residential","CITY","Columbia Heights"
"47","Street Lighting - Metered",14178,5.756268,14.178,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"48","Street Lighting - Non-Metered/Customer Owned",53333,21.653198,53.333,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"49","Street Lighting - Non-Metered/Xcel-Owned",550964,223.691384,550.964,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"50","Business",142423527.01,57823.95196606,142423.52701,"City of Coon Rapids","Xcel Energy",2015,"Electricity","Business","CITY","Coon Rapids"
"51","Residential",53451024.04,21701.11576024,53451.02404,"City of Coon Rapids","Xcel Energy",2015,"Electricity","residential","CITY","Coon Rapids"
"52","Street Lighting - Metered",41321,16.776326,41.321,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"53","Street Lighting - Non-Metered/Customer Owned",242209,98.336854,242.209,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"54","Street Lighting - Non-Metered/Xcel-Owned",583974,237.093444,583.974,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"55","Business *",89264700.77,36241.46851262,89264.70077,"City of Cottage Grove","Xcel Energy",2015,"Electricity","Business","CITY","Cottage Grove"
"56","Residential",112227733.81,45564.45992686,112227.73381,"City of Cottage Grove","Xcel Energy",2015,"Electricity","residential","CITY","Cottage Grove"
"57","Street Lighting - Metered",628512,255.175872,628.512,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"58","Street Lighting - Non-Metered/Customer Owned",606013,246.041278,606.013,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"59","Street Lighting - Non-Metered/Xcel-Owned",181055,73.50833,181.055,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"60","Business",48214277.56,19574.99668936,48214.27756,"City of Crystal","Xcel Energy",2015,"Electricity","Business","CITY","Crystal"
"61","Residential",64665132.02,26254.04360012,64665.13202,"City of Crystal","Xcel Energy",2015,"Electricity","residential","CITY","Crystal"
"62","Street Lighting - Metered",170362,69.166972,170.362,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"63","Street Lighting - Non-Metered/Customer Owned",60129,24.412374,60.129,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"64","Street Lighting - Non-Metered/Xcel-Owned",388866,157.879596,388.866,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"65","Business *",NA,NA,NA,"City of Delano","Xcel Energy",2015,"Electricity","Business","CITY","Delano"
