mn_doc_utility_id,utility_name,eia_utility_id
1,Agralite Electric Cooperative,NULL
2,Aitkin Public Utilities Commission,NULL
3,Alexandria Light & Power,NULL
4,"Arrowhead Electric Coop, Inc",NULL
5,Benson Municipal Utilities,NULL
6,Brown County Rural Electrical Association,NULL
8,"CLEARWATER-POLK ELECTRIC COOPERATIVE, INC.",NULL
9,Cooperative Light and Power,NULL
10,Blue Earth Nicollet Faribault Coop,NULL
11,Brainerd Public Utilities,NULL
12,Breckenridge Public Utilities,NULL
13,City of Caledonia,NULL
14,Lake Country Power,NULL
15,Dakota Electric Association,25177
16,East Central Energy,5574
17,Grand Marais Public Utilities,NULL
18,Itasca-Mantrap Co-op. Electrical Ass'n,NULL
19,Kandiyohi Power Cooperative,NULL
20,"Lyon-Lincoln Electric Cooperative, Inc.",NULL
21,Mille Lacs Energy Cooperative,NULL
22,Minnesota Valley Cooperative Light and Power Association,NULL
24,City of Olivia,NULL
25,"P.K.M. Electric Co-Operative, Inc.",NULL
26,Connexus Energy,689
27,Austin Utilities,NULL
28,City of Baudette,NULL
29,"Beltrami Electric Cooperative, Inc.",NULL
30,Biwabik Public Utilities,NULL
31,City of Hastings Utility Department,NULL
32,City of Buffalo,NULL
34,City of Chaska,3400
35,Crow Wing Cooperative Power and Light Company,NULL
36,Detroit Lakes Public Utilities,NULL
37,East Grand Forks Water & Light,NULL
38,Elk River Municipal Utilities,5773
40,Federated Rural Electric Association,NULL
41,Freeborn-Mower Cooperative Services,NULL
42,Glencoe Light & Power Commission,NULL
43,Goodhue County Cooperative Electric Association,7460
44,Grand Rapids Public Utilities Commission,NULL
46,Halstad Municipal Utilities,NULL
47,Hawley Public Utilities,NULL
48,Head of the Lakes,NULL
49,Hutchinson Utilities Commission,NULL
50,Wells Public Utilities,NULL
52,Interstate Power and Light Company,NULL
53,City of Anoka,691
54,City of Kasson,NULL
55,Keewatin Public Utilities,NULL
56,Lake City Utility Board,NULL
57,Lake Crystal Municipal Utilities,NULL
58,Lakefield Municipal Utilities,NULL
59,Lake Region Electric Coop,NULL
61,Le Sueur Municipal Utilities,NULL
62,Litchfield Public Utilities,NULL
63,City of Luverne,NULL
64,McLeod Coop Power Assn,11910
65,Madelia Municipal Light & Power,NULL
66,Meeker Coop Light & Power Assn,NULL
67,Melrose Public Utilities,NULL
68,Minnesota Power Co,NULL
69,Minnkota Power Coop,NULL
70,Minnesota Valley Electric Coop,12651
72,Moose Lake Water & Light Commission,NULL
73,Mora Municipal Utilities,NULL
74,Mountain Iron Water & Light Dept,NULL
75,Nashwauk Public Utilities,NULL
76,New Ulm Public Utilities,NULL
77,Warroad Municipal Light & Power,NULL
78,North Branch Municipal Water & Light,NULL
79,North Itasca Electric Coop,NULL
81,Moorhead Public Service,NULL
82,City of North St Paul,13730
83,North Star Electric Coop,NULL
85,Xcel Energy,13781
86,Ortonville Light Department,NULL
87,Otter Tail Power Co,NULL
88,Owatonna Public Utilities,NULL
89,People's Energy Cooperative,NULL
92,Princeton Public Utilities,NULL
93,Proctor Public Utilities,NULL
94,Red Lake Electric Coop,NULL
95,Red River Valley Coop Power Assn,NULL
96,Redwood Electric Coop,NULL
97,Redwood Falls Public Utilities,NULL
98,Renville-Sibley Coop Power Assn,NULL
99,Rochester Public Utilities,NULL
100,"Roseau Electric Cooperative, Inc.",NULL
101,City of Roseau,NULL
102,Runestone Electric Assn,NULL
103,City of Rushford,NULL
104,St. Charles Light & Water,NULL
105,St. James Municipal Light & Power,NULL
106,Sauk Centre Public Utilities Commission,NULL
107,Shakopee Public Utilities,16971
109,South Central Electric Assn,NULL
110,Sioux Valley Southwestern Electric,NULL
111,Spring Valley Public Utilities Comm,NULL
112,City of Staples,NULL
113,Stearns Coop Electric Assn,NULL
114,Steele Waseca Coop Electric,NULL
115,Thief River Falls Municipal Utility,NULL
116,"Traverse Electric Coop, Inc",NULL
117,Todd Wadena Electric Coop,NULL
118,MIENERGY COOPERATIVE,NULL
119,City of Two Harbors,NULL
120,City of Tyler,NULL
121,Great River Energy,NULL
122,Virginia Dept. of Public Utilities,NULL
123,City of Wadena Utilities (Wadena Light & Water),NULL
124,City of Warren,NULL
125,Waseca Utilities,NULL
127,Wild Rice Electric Coop,NULL
128,City of Winthrop,NULL
129,Windom Municipal Utilities,NULL
130,Wright-Hennepin Coop Electric Assn,20996
131,New Prague Utilities Commission,13480
132,Janesville Municipal Utility,NULL
134,Springfield Public Utilities Comm,NULL
135,City of Ely - Ely Utilities Commission,NULL
136,Worthington Public Utilities,NULL
137,Madison Municipal Utilities-City of Madison,NULL
138,Blue Earth Light & Water Dept,NULL
139,City of Ada,NULL
140,Adrian Public Utilities,NULL
141,Fairmont Public Utilities,NULL
142,City of Arlington,NULL
143,Sleepy Eye Public Utility,NULL
144,Blooming Prairie Public Utilities,NULL
145,Fairfax Municipal,NULL
146,Delano Municipal Utilities,5015
147,Bagley Public Utilities Commission,NULL
148,Nobles Cooperative Electric,NULL
149,St. Peter Municipal Utilities,NULL
150,Barnesville Municipal Power,NULL
151,Marshall Municipal Utilities,NULL
152,Mountain Lake Municipal Utilities,NULL
153,Kenyon Municipal Utilities,NULL
154,City of Spring Grove,NULL
155,City of Granite Falls,NULL
156,Gilbert Water & Light,NULL
160,City of Jackson,NULL
