utility_id,year,ctu_id,customer_class_id,mwh_per_year,number_of_customers
85,2018,663529,1,10530.582,724
85,2018,663556,1,1263.312,137
85,2018,663571,1,4313.635,251
85,2018,663731,1,1238.797,83
85,2018,663763,1,1115.67,96
85,2018,663886,1,577.798,52
85,2018,663913,1,1394.654,93
85,2018,663965,1,9895.834,720
85,2018,664099,1,9502.498,882
85,2018,664346,1,1310.105,80
85,2018,664354,1,1545.851,125
85,2018,664386,1,792.644,58
85,2018,664388,1,843.466,50
85,2018,664443,1,582.942,34
85,2018,664502,1,1481.545,88
85,2018,664569,1,NULL,NULL
85,2018,664705,1,3288.189,251
85,2018,664793,1,NULL,NULL
85,2018,664919,1,NULL,NULL
85,2018,664932,1,9403.188,723
85,2018,665104,1,421.505,32
85,2018,665126,1,NULL,NULL
85,2018,665377,1,3223.157,258
85,2018,665541,1,816.771,63
85,2018,665551,1,1928.04,120
85,2018,665569,1,463.356,32
85,2018,665676,1,2374.736,199
85,2018,663529,5,12049.441,913
85,2018,663556,5,1263.312,137
85,2018,663571,5,4682.705,287
85,2018,663731,5,1238.797,83
85,2018,663763,5,2436.004,141
85,2018,663886,5,578.509,52
85,2018,663913,5,1394.654,93
85,2018,663965,5,17284.477,865
85,2018,664099,5,16990.195,1002
85,2018,664346,5,1310.649,80
85,2018,664354,5,1545.851,125
85,2018,664386,5,1027.433,80
85,2018,664388,5,843.466,50
85,2018,664443,5,582.942,34
85,2018,664502,5,1672.494,109
85,2018,664569,5,NULL,NULL
85,2018,664705,5,4225.764,302
85,2018,664793,5,NULL,NULL
85,2018,664829,5,NULL,NULL
85,2018,664919,5,NULL,NULL
85,2018,664932,5,10246.618,784
85,2018,665104,5,424.085,32
85,2018,665126,5,0.161,0
85,2018,665377,5,3527.025,292
85,2018,665541,5,970.051,85
85,2018,665551,5,1928.04,120
85,2018,665569,5,463.356,32
85,2018,665676,5,2536.799,221
85,2018,663763,7,1320.334,45
85,2018,663965,7,7388.643,145
85,2018,663529,8,1504.283,189
85,2018,663556,8,NULL,NULL
85,2018,663571,8,368.296,36
85,2018,663731,8,NULL,NULL
85,2018,663886,8,NULL,NULL
85,2018,663913,8,NULL,NULL
85,2018,664099,8,7419.768,120
85,2018,664346,8,NULL,NULL
85,2018,664354,8,NULL,NULL
85,2018,664386,8,223.972,22
85,2018,664388,8,NULL,NULL
85,2018,664443,8,NULL,NULL
85,2018,664502,8,190.949,21
85,2018,664705,8,936.93,51
85,2018,664793,8,NULL,NULL
85,2018,664932,8,843.43,61
85,2018,665104,8,NULL,NULL
85,2018,665126,8,NULL,NULL
85,2018,665377,8,303.868,34
85,2018,665541,8,152.793,22
85,2018,665551,8,NULL,NULL
85,2018,665569,8,NULL,NULL
85,2018,665676,8,161.578,22
85,2018,663529,9,0.013,NULL
85,2018,663571,9,0.774,NULL
85,2018,664386,9,10.817,NULL
85,2018,664099,10,24.336,NULL
85,2018,663529,11,14.563,NULL
85,2018,663886,11,0.711,NULL
85,2018,664099,11,43.593,NULL
85,2018,664346,11,0.544,NULL
85,2018,664705,11,0.645,NULL
85,2018,665104,11,2.58,NULL
85,2018,665126,11,0.161,NULL
85,2018,665541,11,0.487,NULL
85,2018,665676,11,0.485,NULL
15,2017,664346,1,153,NULL
15,2016,665569,1,162,NULL
43,2017,665569,12,171,9
15,2015,664346,1,171,NULL
15,2016,664346,1,175,NULL
15,2017,665569,1,192,NULL
15,2015,665104,2,267,NULL
43,2017,665569,1,285,20
15,2016,665104,2,317,NULL
15,2015,665104,1,340,24
15,2017,665104,2,347,NULL
43,2016,665569,1,NULL,NULL
43,2016,665569,12,NULL,NULL
43,2016,665569,13,NULL,NULL
43,2016,665569,2,NULL,NULL
43,2016,665569,14,NULL,NULL
43,2015,665569,1,NULL,NULL
43,2015,665569,12,NULL,NULL
43,2015,665569,13,NULL,NULL
43,2015,665569,2,NULL,NULL
43,2015,665569,14,NULL,NULL
43,2017,665569,2,2,1
43,2017,665569,13,17,1
15,2017,664346,2,21,NULL
15,2016,664346,2,22,NULL
15,2015,664346,2,32,NULL
43,2017,665569,14,52,3
15,2015,665569,2,58,NULL
15,2016,663886,2,65,NULL
15,2016,665569,2,76,NULL
15,2017,663886,2,78,NULL
15,2015,663886,2,90,NULL
15,2017,665569,2,94,NULL
15,2015,665569,1,144,NULL
15,2016,665104,1,405,35
15,2015,664099,2,448,NULL
15,2017,664099,2,455,NULL
15,2016,664099,2,466,NULL
15,2017,665381,2,489,NULL
15,2016,665381,2,499,NULL
15,2015,665381,2,524,NULL
15,2017,665104,1,579,45
15,2015,663886,1,711,46
15,2016,663886,1,728,53
15,2017,663886,1,741,56
15,2015,663763,2,1002,NULL
15,2016,663763,2,1020,NULL
15,2017,663763,2,1030,NULL
15,2016,665126,2,1108,NULL
15,2015,665126,2,1146,NULL
15,2017,665126,2,1615,NULL
15,2015,664113,2,1750,NULL
15,2015,664386,2,1754,NULL
15,2016,664386,2,1858,NULL
15,2016,664113,2,1863,NULL
15,2017,664386,2,1945,NULL
15,2017,664113,2,1976,NULL
15,2017,664099,1,2073,131
15,2015,664099,1,2112,128
15,2016,664099,1,2204,131
15,2015,663994,2,2445,NULL
15,2016,663994,2,2707,NULL
15,2017,663994,2,2917,NULL
15,2015,665377,1,3343,196
15,2017,665377,1,3395,196
15,2016,665377,1,3402,196
15,2015,665377,2,3656,NULL
15,2016,664113,1,3746,278
15,2017,664113,1,3770,283
15,2015,664113,1,3816,275
15,2017,665377,2,3987,NULL
15,2016,665377,2,4042,NULL
15,2015,665126,1,4319,333
15,2016,665126,1,4358,336
15,2017,665126,1,4453,340
15,2015,664919,2,4732,NULL
15,2017,663763,1,4782,376
15,2016,663763,1,4794,373
15,2015,663763,1,4807,369
15,2016,664919,2,5177,NULL
15,2017,664919,2,5481,NULL
15,2016,664386,1,5818,427
15,2015,664386,1,5832,423
15,2017,664386,1,5878,428
15,2015,663994,1,5923,356
15,2016,663994,1,5928,358
15,2017,663994,1,6154,361
64,2015,663731,5,6533,453
15,2015,664919,1,6633,504
15,2016,664919,1,6642,506
64,2016,663731,5,6722,477
15,2017,664919,1,6744,510
64,2017,663731,5,6841,497
64,2017,664502,5,7129,383
64,2015,664502,5,7135,378
64,2016,664502,5,7189,379
15,2017,665381,1,10812,905
15,2016,665381,1,10945,898
15,2015,665381,1,10991,890
85,2015,663529,9,0.013,NULL
85,2015,663529,11,19.108,NULL
85,2015,663529,8,1280.229,188
85,2015,663529,1,9804.358,677
85,2015,663529,5,11103.708,865
85,2015,663556,8,NULL,NULL
85,2015,663556,1,1194.863,83
85,2015,663556,5,1194.863,83
85,2015,663571,9,2.129,NULL
85,2015,663571,8,145.72,29
85,2015,663571,1,4269.217,253
85,2015,663571,5,4417.066,282
85,2015,663731,8,NULL,NULL
85,2015,663731,1,1215.79,81
85,2015,663731,5,1215.79,81
85,2015,663763,1,994.11,95
85,2015,663763,7,1164.113,46
85,2015,663763,5,2158.223,141
85,2015,663886,8,NULL,NULL
85,2015,663886,1,504.699,52
85,2015,663886,5,504.699,52
85,2015,663913,8,NULL,NULL
85,2015,663913,1,1259.865,89
85,2015,663913,5,1259.865,89
85,2015,663965,9,2.167,NULL
85,2015,663965,7,7012.661,138
85,2015,663965,1,9424.434,704
85,2015,663965,5,16439.262,842
85,2015,664099,10,24.336,NULL
85,2015,664099,11,42.522,NULL
85,2015,664099,8,5939.289,102
85,2015,664099,1,8683.574,810
85,2015,664099,5,14689.721,912
85,2015,664346,8,NULL,NULL
85,2015,664346,1,1235.779,79
85,2015,664346,5,1235.779,79
85,2015,664354,8,NULL,NULL
85,2015,664354,1,1454.413,124
85,2015,664354,5,1454.413,124
85,2015,664386,9,19.576,NULL
85,2015,664386,8,104.26,17
85,2015,664386,1,848.929,58
85,2015,664386,5,972.765,75
85,2015,664388,8,NULL,NULL
85,2015,664388,1,778.62,50
85,2015,664388,5,778.62,50
85,2015,664443,8,NULL,NULL
85,2015,664443,1,552.538,31
85,2015,664443,5,552.538,31
85,2015,664502,8,NULL,NULL
85,2015,664502,1,1524.256,83
85,2015,664502,5,1524.256,83
85,2015,664569,1,NULL,NULL
85,2015,664569,5,NULL,NULL
85,2015,664705,11,1.284,NULL
85,2015,664705,8,860.746,52
85,2015,664705,1,3088.538,251
85,2015,664705,5,3950.568,303
85,2015,664793,8,NULL,NULL
85,2015,664793,1,NULL,NULL
85,2015,664793,5,NULL,NULL
85,2015,664829,5,NULL,NULL
85,2015,664919,1,NULL,NULL
85,2015,664919,5,NULL,NULL
85,2015,664932,8,868.96,55
85,2015,664932,1,8758.898,709
85,2015,664932,5,9627.858,764
85,2015,665104,8,NULL,NULL
85,2015,665104,11,3.831,NULL
85,2015,665104,1,371.379,31
85,2015,665104,5,375.21,31
85,2015,665126,8,NULL,NULL
85,2015,665126,1,NULL,NULL
85,2015,665126,11,0.712,NULL
85,2015,665126,5,0.712,0
85,2015,665377,8,320.518,36
85,2015,665377,1,2878.941,243
85,2015,665377,5,3199.459,279
85,2015,665519,5,NULL,NULL
85,2015,665541,8,NULL,NULL
85,2015,665541,11,0.494,NULL
85,2015,665541,1,766.011,64
85,2015,665541,5,766.505,64
85,2015,665551,8,NULL,NULL
85,2015,665551,1,1768.503,117
85,2015,665551,5,1768.503,117
85,2015,665569,8,NULL,NULL
85,2015,665569,1,463.923,33
85,2015,665569,5,463.923,33
85,2015,665676,8,NULL,NULL
85,2015,665676,11,0.485,NULL
85,2015,665676,1,2266.04,201
85,2015,665676,5,2266.525,201
85,2016,663529,9,0.014,NULL
85,2016,663529,11,20.36,NULL
85,2016,663529,8,1287.675,192
85,2016,663529,1,9826.111,690
85,2016,663529,5,11134.16,882
85,2016,663556,8,NULL,NULL
85,2016,663556,1,1170.764,83
85,2016,663556,5,1170.764,83
85,2016,663571,8,166.478,29
85,2016,663571,9,1.207,NULL
85,2016,663571,1,4084.328,250
85,2016,663571,5,4252.013,279
85,2016,663612,8,NULL,NULL
85,2016,663612,1,1346.936,100
85,2016,663612,5,1346.936,100
85,2016,663731,8,NULL,NULL
85,2016,663731,1,1236.774,82
