GEOID_tract,GEOID
27053026511,270530265111
27037060105,270370601051
27053110900,270531109002
27053104400,270531044002
27053126000,270531260003
27053106400,270531064001
27053026811,270530268114
27053105700,270531057003
27053105700,270531057001
27053102500,270531025002
27053125900,270531259003
27163071025,271630710253
27163071012,271630710124
27163070910,271630709103
27163070907,271630709074
27053025201,270530252014
27053025403,270530254034
27123036100,271230361002
27123041302,271230413024
27123034201,271230342016
27123032700,271230327003
27123042800,271230428003
27139080303,271390803031
27139080305,271390803051
27139080208,271390802082
27139080903,271390809034
27139080303,271390803033
27139080801,271390808013
27139080903,271390809035
27139080304,271390803043
27139080307,271390803071
27139080307,271390803074
27139080305,271390803053
27053020201,270530202013
27053020202,270530202021
27053026827,270530268272
27053026819,270530268193
27053020202,270530202025
27053126201,270531262011
27053020400,270530204005
27053000101,270530001014
27053101600,270531016004
27053126300,270531263001
27053003200,270530032001
27053101600,270531016003
27053104802,270531048022
27053126300,270531263004
27053104100,270531041003
27053126300,270531263002
27053102600,270531026004
27053103100,270531031002
27053125800,270531258004
27053105204,270531052043
27053024904,270530249041
27053000601,270530006015
27053006800,270530068004
27053106900,270531069003
27053003802,270530038021
27053003802,270530038022
27053104001,270531040013
27053023402,270530234022
27053104902,270531049022
27053104902,270531049024
27053104902,270531049025
27053105400,270531054003
27053005902,270530059023
27053126102,270531261022
27053104801,270531048011
27053104801,270531048012
27053104901,270531049011
27053125500,270531255004
27053025201,270530252015
27053025302,270530253024
27053027102,270530271025
27053026910,270530269104
27053026807,270530268077
27053026816,270530268163
27053026816,270530268164
27053104001,270531040012
27053026809,270530268093
27053020400,270530204002
27053020201,270530202011
27053126300,270531263003
27053026828,270530268281
27053026827,270530268271
27053020202,270530202023
27053020202,270530202024
27053020202,270530202022
27053023300,270530233005
27053023202,270530232023
27053023401,270530234012
27053026828,270530268282
27053025201,270530252016
27053104002,270531040023
27053104902,270531049023
27053104002,270531040024
27053104902,270531049021
27053980100,270539801002
27053980100,270539801001
27053104802,270531048023
27053012003,270530120035
27053024904,270530249042
27053024904,270530249043
27053125600,270531256003
27053104002,270531040021
27053103700,270531037004
27053003801,270530038011
27053003801,270530038012
27053126102,270531261025
27053104400,270531044003
27053107000,270531070002
27053020201,270530202012
27053104901,270531049012
27053023202,270530232022
27053005901,270530059013
27053104802,270531048021
27053022802,270530228022
27053012003,270530120032
27053008500,270530085003
27053026825,270530268253
27003051304,270030513042
27003051201,270030512012
27003051304,270030513041
27003051400,270030514003
27003051400,270030514004
27123030201,271230302011
27123030100,271230301003
27123030400,271230304001
27123030400,271230304002
27123030400,271230304003
27123030500,271230305001
27123030500,271230305003
27123030601,271230306011
27053103900,270531039001
27053102500,270531025001
27053102600,270531026002
27053102800,270531028001
27053102800,270531028002
27053103100,270531031001
27053103400,270531034001
27053103400,270531034002
27053103400,270531034003
27053104100,270531041002
27053104400,270531044001
27053100200,270531002001
27053100400,270531004003
27053100500,270531005002
27053100700,270531007002
27053100800,270531008004
27053100900,270531009001
27053100900,270531009002
27053100900,270531009003
27053026809,270530268091
27053101300,270531013001
27053125700,270531257001
27053101600,270531016001
27053101800,270531018001
27053101800,270531018002
27053101900,270531019002
27053102100,270531021001
27053102100,270531021002
27053102100,270531021003
27053026811,270530268112
27053026814,270530268141
27053026814,270530268145
27053026815,270530268153
27053026816,270530268161
27053026816,270530268165
27053026818,270530268182
27053109400,270531094001
27053109400,270531094002
27053110000,270531100001
27053106000,270531060001
27053105400,270531054001
27053106000,270531060002
27053106200,270531062002
27053107400,270531074001
27053107400,270531074002
27053107500,270531075002
27053125800,270531258001
27053108600,270531086001
27053108600,270531086002
27053108600,270531086003
27053108700,270531087003
27053108800,270531088001
27053108800,270531088002
27053108800,270531088004
27053105204,270531052041
27053110400,270531104001
27053110000,270531100002
27053110900,270531109001
27053111100,270531111001
27053107000,270531070001
27053107000,270531070003
27053126000,270531260001
27003051206,270030512062
27003051302,270030513021
27003051302,270030513022
27003051305,270030513052
27003051305,270030513053
27003051501,270030515011
27003051501,270030515012
27003051502,270030515021
27003050807,270030508071
27003050807,270030508073
27003050901,270030509011
27003051101,270030511013
27003051102,270030511023
27003051103,270030511033
27003051201,270030512011
27003051201,270030512013
27003051202,270030512021
27003051203,270030512031
27053005901,270530059012
