,,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year
Sector,Sources (group),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Waste,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Natural gas,"14,610","13,178","14,864","17,237","16,228","15,328","17,927","20,145","23,722","22,843","26,708","15,687","12,426","14,128","13,922","9,162"
Waste,Oil,"2,578","2,121","2,884","3,048","2,824","1,657","1,941","1,106","2,385",977,262,764,875,857,871,"2,006"
Waste,Ash disposal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Biosolids land application,"25,685","21,606","22,568","19,017","20,345","19,236","22,869","17,648","15,120","15,256","13,070","11,965","11,997","10,271","10,239","19,032"
Waste,City dumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Compost processing,153,110,110,108,101,97,98,91,0,0,0,0,0,0,0,0
Waste,Composting,"45,207","43,812","43,816","43,752","23,559","23,462","23,498","23,236","20,000","20,000","20,235","29,521","31,358","37,530","37,058","46,035"
Waste,Hazardous waste,"107,345","123,584","115,520","120,901","100,704","112,616","73,570","112,857","128,841","138,800","112,863","122,664",0,0,0,0
Waste,Industrial and Commercial waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Landfill gas,"13,756","14,494","13,657","13,064","15,588","15,392","17,217","16,508","19,361","16,945","19,873","16,539","11,515","10,490","9,575","7,620"
Waste,Landfills,"2,351,881","2,279,641","2,220,911","2,178,064","2,093,568","1,961,662","1,953,419","1,872,424","1,936,332","1,842,353","1,894,553","1,763,085","1,891,296","1,759,596","1,789,576","1,663,472"
Waste,Limestone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Medical waste,"4,836","4,613","5,845","4,847","4,788","4,740","4,506","5,000","4,709","4,567","4,826","4,372","4,951","5,130","5,157","4,579"
Waste,MRF,"9,763","9,759","10,024","10,041","9,332","9,135","9,612","9,935","10,202","9,936","7,892","7,509","8,050","8,132","7,753","7,557"
Waste,Municipal wastewater,"451,632","432,900","413,295","391,517","368,632","347,053","345,334","353,030","357,671","359,867","361,494","365,096","367,614","371,000","372,552","374,128"
Waste,Propane,4,2,2,0,0,0,0,0,5,106,2,1,0,0,0,0
Waste,RDF,"2,542","2,259","2,472","2,395","2,143","1,782","2,031","2,199","2,430","2,329","2,323",100,"2,232","2,444","1,543","1,461"
Waste,Rural open burning,"48,723","47,269","43,840","44,083","43,468","42,265","39,924","36,854","35,251","34,639","33,523","34,191","33,136","32,568","34,870","30,377"
Waste,Sequestration in landfills,"-993,673","-1,175,770","-1,113,918","-1,018,593","-629,156","-728,570","-904,061","-778,744","-382,734","-414,092","-352,849","-316,092","-486,084","-471,322","-485,984","-903,026"
Waste,Sludge,"5,653","5,989","5,830","6,030","5,750","5,979","6,126","5,509","5,069","5,265","5,688","5,607","5,859","5,939","6,091","5,907"
Waste,Solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Solvent,"18,474","24,036","20,330","17,655","10,937","12,399","13,605","11,793","15,112","19,861","2,750","8,275",0,0,0,0
Waste,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,Yard waste processing,"2,949","2,908","2,905","2,455","1,324","1,577","1,408","1,408","1,408","1,372","1,388","2,025","2,151","2,574","2,541","3,157"
