"emissions_year","sector","value_emissions"
2005,"Agriculture",1177200.07
2005,"Building Fuel",11447555.82
2005,"Electricity",27564576.73
2005,"Industrial Processes",4940901.86
2005,"Natural Systems",-1657926.29
2005,"Transportation",19900146.93
2005,"Waste",1695692.04
2006,"Agriculture",1173243.62
2006,"Building Fuel",12187444.58
2006,"Electricity",26883515.16
2006,"Industrial Processes",5459257.86
2006,"Natural Systems",-1666633.23
2006,"Transportation",19692042.14
2006,"Waste",1704889.81
2007,"Agriculture",1154888.14
2007,"Building Fuel",12169730.61
2007,"Electricity",26189888.7
2007,"Industrial Processes",5512227.75
2007,"Natural Systems",-1672014.25
2007,"Transportation",20291704.71
2007,"Waste",1678194.44
2008,"Agriculture",1127030.32
2008,"Building Fuel",12152016.67
2008,"Electricity",25529380.38
2008,"Industrial Processes",5920172.46
2008,"Natural Systems",-1675153.95
2008,"Transportation",19699419.21
2008,"Waste",1557013.78
2009,"Agriculture",1136154.67
2009,"Building Fuel",12134302.75
2009,"Electricity",24856322.84
2009,"Industrial Processes",5582929.61
2009,"Natural Systems",-1679722.32
2009,"Transportation",19260952.43
2009,"Waste",1485462.97
2010,"Agriculture",1169762.71
2010,"Building Fuel",12116588.81
2010,"Electricity",23257154.77
2010,"Industrial Processes",5930643.64
2010,"Natural Systems",-1682460.37
2010,"Transportation",18939568.04
2010,"Waste",1433527.27
2011,"Agriculture",1123520.13
2011,"Building Fuel",12098874.91
2011,"Electricity",22675339.25
2011,"Industrial Processes",6299999.85
2011,"Natural Systems",-1681914.19
2011,"Transportation",18824985.15
2011,"Waste",1460067.39
2012,"Agriculture",1139460.16
2012,"Building Fuel",12081160.95
2012,"Electricity",21856829.61
2012,"Industrial Processes",5515768.13
2012,"Natural Systems",-1689705.46
2012,"Transportation",19180478.25
2012,"Waste",1448027.96
2013,"Agriculture",1059407.01
2013,"Building Fuel",11933873.97
2013,"Electricity",21461763.21
2013,"Industrial Processes",5580300.52
2013,"Natural Systems",-1692857.96
2013,"Transportation",19224392
2013,"Waste",1440795.34
2014,"Agriculture",1067123.72
2014,"Building Fuel",12564599.09
2014,"Electricity",20904572.48
2014,"Industrial Processes",5615146.58
2014,"Natural Systems",-1690576.5
2014,"Transportation",19283164.86
2014,"Waste",1550634.58
2015,"Agriculture",1122627.27
2015,"Building Fuel",11959624.6
2015,"Electricity",19713297.35
2015,"Industrial Processes",5776538.89
2015,"Natural Systems",-1699701.38
2015,"Transportation",19321438.45
2015,"Waste",1591418.66
2016,"Agriculture",1136567.25
2016,"Building Fuel",12048428.17
2016,"Electricity",18802033.19
2016,"Industrial Processes",5659535.65
2016,"Natural Systems",-1704376.85
2016,"Transportation",19499117.02
2016,"Waste",1641736.69
2017,"Agriculture",1117908.01
2017,"Building Fuel",11927820.66
2017,"Electricity",18479902.56
2017,"Industrial Processes",5875704.34
2017,"Natural Systems",-1705740.84
2017,"Transportation",19527551.46
2017,"Waste",1705875.17
2018,"Agriculture",1057596.21
2018,"Building Fuel",13878858.82
2018,"Electricity",19098763.96
2018,"Industrial Processes",5937575.75
2018,"Natural Systems",-1709196.64
2018,"Transportation",19430955.09
2018,"Waste",1691040.91
2019,"Agriculture",971073.59
2019,"Building Fuel",15123813.13
2019,"Electricity",16290376.65
2019,"Industrial Processes",5814359.42
2019,"Natural Systems",-1713027.81
2019,"Transportation",19289578.27
2019,"Waste",1744554.03
2020,"Agriculture",1052390.5
2020,"Building Fuel",13532488.25
2020,"Electricity",14209282.47
2020,"Industrial Processes",5902309.19
2020,"Natural Systems",-1720488.22
2020,"Transportation",16113299.12
2020,"Waste",1747699.83
2021,"Agriculture",1026645.71
2021,"Building Fuel",12243481.88
2021,"Electricity",14727910.06
2021,"Industrial Processes",6089769.8
2021,"Natural Systems",-1722006.24
2021,"Transportation",18162753.75
2021,"Waste",1813329.14
2022,"Agriculture",1041356.28
2022,"Building Fuel",13538967.38
2022,"Electricity",13299448.08
2022,"Industrial Processes",6009117.57
2022,"Natural Systems",-1726986.35
2022,"Transportation",19628892.18
2022,"Waste",1791993.92
2023,"Agriculture",1038297.73
2023,"Building Fuel",13780554.51
2023,"Electricity",12703357.62
2023,"Industrial Processes",5993800.72
2023,"Natural Systems",-1726986.35
2023,"Transportation",19126063.71
2023,"Waste",1803329.22
2024,"Agriculture",1035239.17
2024,"Building Fuel",13839661.76
2024,"Electricity",11890731.55
2024,"Industrial Processes",5978483.88
2024,"Natural Systems",-1726986.35
2024,"Transportation",18755346.58
2024,"Waste",1814664.53
2025,"Agriculture",1032180.62
2025,"Building Fuel",13898769.02
2025,"Electricity",11040939
2025,"Industrial Processes",5963167.03
2025,"Natural Systems",-1726986.35
2025,"Transportation",18384629.45
2025,"Waste",1825999.83
2026,"Agriculture",1029122.06
2026,"Building Fuel",13957876.27
2026,"Electricity",10172369.5
2026,"Industrial Processes",5995734.55
2026,"Natural Systems",-1727600.38
2026,"Transportation",18094085.11
2026,"Waste",1837335.13
2027,"Agriculture",1026063.51
2027,"Building Fuel",14016983.52
2027,"Electricity",8822456.89
2027,"Industrial Processes",6028302.07
2027,"Natural Systems",-1728399.63
2027,"Transportation",17803540.77
2027,"Waste",1848670.44
2028,"Agriculture",1023004.95
2028,"Building Fuel",14076090.78
2028,"Electricity",7802434.22
2028,"Industrial Processes",6060869.59
2028,"Natural Systems",-1729388.42
2028,"Transportation",17512996.43
2028,"Waste",1860005.74
2029,"Agriculture",1019946.4
2029,"Building Fuel",14135198.03
2029,"Electricity",6202663.91
2029,"Industrial Processes",6093437.11
2029,"Natural Systems",-1730537.54
2029,"Transportation",17222452.09
2029,"Waste",1871341.04
2030,"Agriculture",1016887.84
2030,"Building Fuel",14194305.28
2030,"Electricity",4871174.17
2030,"Industrial Processes",6126004.63
2030,"Natural Systems",-1731779.81
2030,"Transportation",16931907.75
2030,"Waste",1882676.35
2031,"Agriculture",1013829.29
2031,"Building Fuel",14259637.34
2031,"Electricity",4359926.5
2031,"Industrial Processes",6116493.31
2031,"Natural Systems",-1733022.09
2031,"Transportation",16629259.06
2031,"Waste",1893147.1
2032,"Agriculture",1010770.73
2032,"Building Fuel",14324969.4
2032,"Electricity",3827634.39
2032,"Industrial Processes",6106981.99
2032,"Natural Systems",-1734171.21
2032,"Transportation",16326610.38
2032,"Waste",1903617.86
2033,"Agriculture",1007712.18
2033,"Building Fuel",14390301.46
2033,"Electricity",3549604.57
2033,"Industrial Processes",6097470.67
2033,"Natural Systems",-1735160
2033,"Transportation",16023961.69
2033,"Waste",1914088.61
2034,"Agriculture",1004653.62
2034,"Building Fuel",14455633.52
2034,"Electricity",2982137.72
2034,"Industrial Processes",6087959.35
2034,"Natural Systems",-1735959.25
2034,"Transportation",15721313.01
2034,"Waste",1924559.37
2035,"Agriculture",1001595.07
2035,"Building Fuel",14520965.58
2035,"Electricity",2309087.59
2035,"Industrial Processes",6078448.03
2035,"Natural Systems",-1736573.28
2035,"Transportation",15418664.32
2035,"Waste",1935030.12
2036,"Agriculture",998536.51
2036,"Building Fuel",14586297.64
2036,"Electricity",1975386.6
2036,"Industrial Processes",6066621.64
