"emissions_year","sector","scenario","value_emissions"
2005,"Agriculture","bau",1226170.09
2005,"Building Fuel","bau",11447555.82
2005,"Electricity","bau",27564576.73
2005,"Industrial Processes","bau",4940901.89
2005,"Natural Systems","bau",-1657926.29
2005,"Transportation","bau",19900144.21
2005,"Waste","bau",1695692.04
2006,"Agriculture","bau",1221965.14
2006,"Building Fuel","bau",12187444.58
2006,"Electricity","bau",26883515.16
2006,"Industrial Processes","bau",5459257.84
2006,"Natural Systems","bau",-1666633.23
2006,"Transportation","bau",19692038.95
2006,"Waste","bau",1704889.8
2007,"Agriculture","bau",1198682.38
2007,"Building Fuel","bau",12169730.61
2007,"Electricity","bau",26189888.7
2007,"Industrial Processes","bau",5512227.76
2007,"Natural Systems","bau",-1672014.25
2007,"Transportation","bau",20291702.05
2007,"Waste","bau",1678194.4
2008,"Agriculture","bau",1170794.18
2008,"Building Fuel","bau",12152016.67
2008,"Electricity","bau",25529380.38
2008,"Industrial Processes","bau",5920172.45
2008,"Natural Systems","bau",-1675153.95
2008,"Transportation","bau",19699416.36
2008,"Waste","bau",1557013.78
2009,"Agriculture","bau",1183608.97
2009,"Building Fuel","bau",12134302.75
2009,"Electricity","bau",24856322.84
2009,"Industrial Processes","bau",5582929.59
2009,"Natural Systems","bau",-1679722.32
2009,"Transportation","bau",19260949.61
2009,"Waste","bau",1485462.99
2010,"Agriculture","bau",1222749.65
2010,"Building Fuel","bau",12116588.81
2010,"Electricity","bau",23257154.77
2010,"Industrial Processes","bau",5930643.65
2010,"Natural Systems","bau",-1682460.37
2010,"Transportation","bau",18939530.01
2010,"Waste","bau",1433527.27
2011,"Agriculture","bau",1173545.22
2011,"Building Fuel","bau",12098874.91
2011,"Electricity","bau",22675339.25
2011,"Industrial Processes","bau",6299999.88
2011,"Natural Systems","bau",-1681914.19
2011,"Transportation","bau",18824938.4
2011,"Waste","bau",1460067.39
2012,"Agriculture","bau",1192832.89
2012,"Building Fuel","bau",12081160.95
2012,"Electricity","bau",21856829.61
2012,"Industrial Processes","bau",5515768.12
2012,"Natural Systems","bau",-1689705.46
2012,"Transportation","bau",19180412.71
2012,"Waste","bau",1448027.94
2013,"Agriculture","bau",1104374.4
2013,"Building Fuel","bau",11933873.97
2013,"Electricity","bau",21461763.21
2013,"Industrial Processes","bau",5580300.54
2013,"Natural Systems","bau",-1692857.96
2013,"Transportation","bau",19223247.7
2013,"Waste","bau",1440795.35
2014,"Agriculture","bau",1115257.67
2014,"Building Fuel","bau",12564599.09
2014,"Electricity","bau",20904572.48
2014,"Industrial Processes","bau",5615146.57
2014,"Natural Systems","bau",-1690576.5
2014,"Transportation","bau",19281354.57
2014,"Waste","bau",1550634.56
2015,"Agriculture","bau",1178605.14
2015,"Building Fuel","bau",11959624.6
2015,"Electricity","bau",19713297.35
2015,"Industrial Processes","bau",5776538.9
2015,"Natural Systems","bau",-1699701.38
2015,"Transportation","bau",19318984.26
2015,"Waste","bau",1591418.66
2016,"Agriculture","bau",1195097.88
2016,"Building Fuel","bau",12048428.17
2016,"Electricity","bau",18802033.19
2016,"Industrial Processes","bau",5659535.65
2016,"Natural Systems","bau",-1704376.85
2016,"Transportation","bau",19496751.47
2016,"Waste","bau",1641736.62
2017,"Agriculture","bau",1175353.85
2017,"Building Fuel","bau",11927820.66
2017,"Electricity","bau",18479902.56
2017,"Industrial Processes","bau",5875704.33
2017,"Natural Systems","bau",-1705740.84
2017,"Transportation","bau",19524750.29
2017,"Waste","bau",1705875.15
2018,"Agriculture","bau",1108810.93
2018,"Building Fuel","bau",13878858.82
2018,"Electricity","bau",19098763.96
2018,"Industrial Processes","bau",5937575.73
2018,"Natural Systems","bau",-1709196.64
2018,"Transportation","bau",19428030.11
2018,"Waste","bau",1691040.87
2019,"Agriculture","bau",1013477.09
2019,"Building Fuel","bau",15123813.13
2019,"Electricity","bau",16290376.65
2019,"Industrial Processes","bau",5814359.44
2019,"Natural Systems","bau",-1713027.81
2019,"Transportation","bau",19286677.87
2019,"Waste","bau",1744554.04
2020,"Agriculture","bau",1107456.63
2020,"Building Fuel","bau",13532488.25
2020,"Electricity","bau",14209282.47
2020,"Industrial Processes","bau",5902309.21
2020,"Natural Systems","bau",-1720488.22
2020,"Transportation","bau",16104684.13
2020,"Waste","bau",1747699.81
2021,"Agriculture","bau",1080152.48
2021,"Building Fuel","bau",12243481.88
2021,"Electricity","bau",14727910.06
2021,"Industrial Processes","bau",6089769.8
2021,"Natural Systems","bau",-1722006.24
2021,"Transportation","bau",18153449.31
2021,"Waste","bau",1813329.17
2022,"Agriculture","bau",1041356.28
2022,"Building Fuel","bau",13538967.38
2022,"Electricity","bau",13299448.08
2022,"Industrial Processes","bau",6009117.54
2022,"Natural Systems","bau",-1726986.35
2022,"Transportation","bau",19454616.22
2022,"Waste","bau",1791993.92
2023,"Agriculture","bau",1038297.73
2023,"Building Fuel","bau",13780554.51
2023,"Electricity","bau",12703357.62
2023,"Industrial Processes","bau",5993800.71
2023,"Natural Systems","bau",-1726986.35
2023,"Transportation","bau",19084657.21
2023,"Waste","bau",1803329.22
2024,"Agriculture","bau",1035239.17
2024,"Building Fuel","bau",13839661.76
2024,"Electricity","bau",11890731.55
2024,"Industrial Processes","bau",5978483.88
2024,"Natural Systems","bau",-1726986.35
2024,"Transportation","bau",18714698.22
2024,"Waste","bau",1814664.52
2025,"Agriculture","bau",1032180.62
2025,"Building Fuel","bau",13898769.01
2025,"Electricity","bau",11040939
2025,"Industrial Processes","bau",5963167.05
2025,"Natural Systems","bau",-1726986.35
2025,"Transportation","bau",18344739.23
2025,"Waste","bau",1825999.83
2026,"Agriculture","bau",1029122.06
2026,"Agriculture","ppp",1025074.72
2026,"Building Fuel","bau",13957876.27
2026,"Building Fuel","ppp",13810688.74
2026,"Electricity","bau",10172369.5
2026,"Electricity","ppp",10172369.5
2026,"Industrial Processes","bau",5995734.57
2026,"Industrial Processes","ppp",5926367.99
2026,"Natural Systems","bau",-1727600.38
2026,"Natural Systems","ppp",-1730268.52
2026,"Transportation","bau",18054953.03
2026,"Transportation","ppp",17336224.34
2026,"Waste","bau",1837335.13
2026,"Waste","ppp",1738844.52
2027,"Agriculture","bau",1026063.51
2027,"Agriculture","ppp",1019333
2027,"Building Fuel","bau",14016983.52
2027,"Building Fuel","ppp",13847755.46
2027,"Electricity","bau",8822456.89
2027,"Electricity","ppp",8822456.89
2027,"Industrial Processes","bau",6028302.09
2027,"Industrial Processes","ppp",5936680.93
2027,"Natural Systems","bau",-1728399.63
2027,"Natural Systems","ppp",-1733954.48
2027,"Transportation","bau",17765166.82
2027,"Transportation","ppp",16582820.35
2027,"Waste","bau",1848670.43
2027,"Waste","ppp",1704628.02
2028,"Agriculture","bau",1023004.95
2028,"Agriculture","ppp",1012172.92
2028,"Building Fuel","bau",14076090.77
2028,"Building Fuel","ppp",13687157.94
2028,"Electricity","bau",7802434.22
2028,"Electricity","ppp",7841233.89
2028,"Industrial Processes","bau",6060869.61
2028,"Industrial Processes","ppp",5946993.88
2028,"Natural Systems","bau",-1729388.42
2028,"Natural Systems","ppp",-1738067.42
2028,"Transportation","bau",17475380.62
2028,"Transportation","ppp",15829416.36
2028,"Waste","bau",1860005.74
2028,"Waste","ppp",1670411.53
2029,"Agriculture","bau",1019946.4
2029,"Agriculture","ppp",1005032.68
2029,"Building Fuel","bau",14135198.03
2029,"Building Fuel","ppp",13556062.84
2029,"Electricity","bau",6202663.91
2029,"Electricity","ppp",6272409.38
2029,"Industrial Processes","bau",6093437.13
2029,"Industrial Processes","ppp",5957306.82
2029,"Natural Systems","bau",-1730537.54
2029,"Natural Systems","ppp",-1742624.03
2029,"Transportation","bau",17185594.42
2029,"Transportation","ppp",15076012.36
2029,"Waste","bau",1871341.04
2029,"Waste","ppp",1636195.03
2030,"Agriculture","bau",1016887.84
2030,"Agriculture","ppp",992696.53
2030,"Building Fuel","bau",14194305.28
2030,"Building Fuel","ppp",13426338.85
2030,"Electricity","bau",4871174.17
2030,"Electricity","ppp",4950712.39
2030,"Industrial Processes","bau",6126004.65
2030,"Industrial Processes","ppp",5967619.76
2030,"Natural Systems","bau",-1731779.81
2030,"Natural Systems","ppp",-1747632.31
2030,"Transportation","bau",16895808.22
2030,"Transportation","ppp",14322608.37
2030,"Waste","bau",1882676.34
2030,"Waste","ppp",1601978.53
2031,"Agriculture","bau",1013829.29
2031,"Agriculture","ppp",980435
2031,"Building Fuel","bau",14259637.34
2031,"Building Fuel","ppp",13058816.39
2031,"Electricity","bau",4359926.5
2031,"Electricity","ppp",4453772.48
2031,"Industrial Processes","bau",6116493.33
2031,"Industrial Processes","ppp",5822977.98
2031,"Natural Systems","bau",-1733022.09
2031,"Natural Systems","ppp",-1753089.26
2031,"Transportation","bau",16593917.67
2031,"Transportation","ppp",13021073.38
2031,"Waste","bau",1893147.1
2031,"Waste","ppp",1570360.55
2032,"Agriculture","bau",1010770.73
2032,"Agriculture","ppp",968247.76
2032,"Building Fuel","bau",14324969.4
2032,"Building Fuel","ppp",12692842.55
2032,"Electricity","bau",3827634.39
2032,"Electricity","ppp",3924713.34
2032,"Industrial Processes","bau",6106982.01
2032,"Industrial Processes","ppp",5678336.2
2032,"Natural Systems","bau",-1734171.21
2032,"Natural Systems","ppp",-1758978.91
2032,"Transportation","bau",16292027.13
2032,"Transportation","ppp",11719538.39
2032,"Waste","bau",1903617.85
2032,"Waste","ppp",1538742.56
2033,"Agriculture","bau",1007712.18
2033,"Agriculture","ppp",956134.48
2033,"Building Fuel","bau",14390301.46
2033,"Building Fuel","ppp",12328413.98
2033,"Electricity","bau",3549604.57
2033,"Electricity","ppp",3671066.52
2033,"Industrial Processes","bau",6097470.69
2033,"Industrial Processes","ppp",5533694.41
2033,"Natural Systems","bau",-1735160
2033,"Natural Systems","ppp",-1765270.81
2033,"Transportation","bau",15990136.58
2033,"Transportation","ppp",10418003.41
2033,"Waste","bau",1914088.61
2033,"Waste","ppp",1507124.58
2034,"Agriculture","bau",1004653.62
2034,"Agriculture","ppp",944094.82
2034,"Building Fuel","bau",14455633.52
2034,"Building Fuel","ppp",11965530.44
2034,"Electricity","bau",2982137.72
2034,"Electricity","ppp",3088205.57
2034,"Industrial Processes","bau",6087959.37
2034,"Industrial Processes","ppp",5389052.63
2034,"Natural Systems","bau",-1735959.25
2034,"Natural Systems","ppp",-1771919.32
2034,"Transportation","bau",15688246.04
2034,"Transportation","ppp",9116468.42
2034,"Waste","bau",1924559.36
2034,"Waste","ppp",1475506.6
2035,"Agriculture","bau",1001595.07
2035,"Agriculture","ppp",932128.46
2035,"Building Fuel","bau",14520965.58
2035,"Building Fuel","ppp",11604195.33
2035,"Electricity","bau",2309087.59
2035,"Electricity","ppp",2372356.26
2035,"Industrial Processes","bau",6078448.05
2035,"Industrial Processes","ppp",5244410.84
2035,"Natural Systems","bau",-1736573.28
2035,"Natural Systems","ppp",-1778863.98
2035,"Transportation","bau",15386355.49
