"year","geog_name","sector","category","emissions_metric_tons_co2e","emissions_per_capita"
2021,"Anoka","Agriculture","Livestock",622.191653134753,0.00172460703305057
2021,"Anoka","Agriculture","Cropland",8079.35985970288,0.0223945801368253
2021,"Anoka","Building Fuel","Residential energy",350665.337116411,0.971983316701669
2021,"Anoka","Building Fuel","Commercial energy",214040.220503855,0.593282259215228
2021,"Anoka","Building Fuel","Industrial energy",281212.870917928,0.779473161566768
2021,"Anoka","Building Fuel","Liquid stationary fuels",13992.753004,0.0387854773056742
2021,"Anoka","Electricity","Residential energy",645119.047608757,1.78815778234169
2021,"Anoka","Electricity","Commercial energy",778328.169866572,2.15739029768462
2021,"Anoka","Electricity","Industrial energy",595297.095171256,1.65005999664957
2021,"Anoka","Transportation","Light-duty vehicles",1045151.4817841,2.89697810474759
2021,"Anoka","Transportation","Heavy-duty vehicles",328614.155012374,0.910861275684084
2021,"Anoka","Waste","Wastewater",34992.7043110344,0.0969936894142145
2021,"Anoka","Waste","Solid waste",160138.080836126,0.443874904264249
2021,"Carver","Agriculture","Livestock",139991.508827932,1.32449816288466
2021,"Carver","Agriculture","Cropland",93938.9021492683,0.888781786565635
2021,"Carver","Building Fuel","Residential energy",100886.217575925,0.954512248338841
2021,"Carver","Building Fuel","Commercial energy",74852.076136686,0.708196076756353
2021,"Carver","Building Fuel","Industrial energy",106513.202733841,1.00775070234679
2021,"Carver","Building Fuel","Liquid stationary fuels",12647.68362825,0.11966321293782
2021,"Carver","Electricity","Residential energy",177632.032409859,1.68062550769068
2021,"Carver","Electricity","Commercial energy",200620.051510905,1.89812147814356
2021,"Carver","Electricity","Industrial energy",176988.679315785,1.67453856714464
2021,"Carver","Transportation","Light-duty vehicles",287960.303821806,2.72447162395033
2021,"Carver","Transportation","Heavy-duty vehicles",100574.401170782,0.951562067579825
2021,"Carver","Waste","Wastewater",10251.651008946,0.0969936894142145
2021,"Carver","Waste","Solid waste",51133.3398152285,0.483786589732894
