file_name,status,prefix,type,description,output_datasets,github_issue
_calculate_emissions.R,Deprecated,_,function,StreetLight Data - Calculate emissions using vehicle miles traveled ,None,
_calculate_vmt.R,Deprecated,_,function,StreetLight Data - calculate vehicle miles traveled from a given StreetLight Analysis,None,
_read_smoke_ff10.R,Active,_,function,"EPA - read, clean, and save a given SMOKE FF10 file.",None,
_run_all_transportation.R,Active,_,compilation,Sequentially sources critical scripts for generating output datasets,None,
_source_method_compare.xlsx,Needs update,,dataset,"Comparison of US GHGI, NEI, MPCA, and Met Council inventory characteristics. To be used in documentation ",,
_transportation_compile.R,Active,_,compilation,"Compiles EPA on-road, EPA non-road, and other transportation emissions datasets for compatability with other sectors","onroad_emissions.RDS, onroad_emissions_meta.RDS",
_transportation_RDG.R,Deprecated,_,compilation,Compiles EPA NEI on-road datasets to make county emissions time series from 2005-2021,county_emissions_subsectors.RDG.RDS,
dot_vmt_county_proportions.R,,dot_vmt,validation,Compares county and state VMT and population proportionally for MN and WI,None,
dot_vmt.R,Active,dot_vmt,compilation,Compiles MnDOT and WisDOT county level VMT data,"dot_vmt.RDS, dot_vmt_meta.RDS",
epa_air_emissions_modeling_activity.R,Active,epa_air_emissions_modeling,data processing,EPA Air Emissions Modeling activity data read in and cleaning,None,https://github.com/Metropolitan-Council/ghg-cprg/issues/116
epa_air_emissions_modeling_nonroad.R,Active,epa_air_emissions_modeling,data processing,"EPA Air Emissions Modeling inventory read, clean, save for non-road datasets",nonroad_mn_wi.RDS,
epa_air_emissions_modeling_onroad.R,Active,epa_air_emissions_modeling,data processing,"EPA Air Emissions Modeling inventory read, clean, save for on-road datasets",onroad_mn_wi.RDS,https://github.com/Metropolitan-Council/ghg-cprg/issues/115
epa_equates_read.R,Active,epa_equates,data processing,"EPA EQUATES read, clean, save  SMOKE FF10 EQUATES inventory data","equates_mn_wi.RDS, equates_cmas_mn_wi.RDS",
