"county_name","geoid","emissions_year","data_source","emissions_metric_tons_co2e"
"Anoka","27003",2002,"EQUATES",1539370.21
"Anoka","27003",2003,"EQUATES",1566151.54
"Anoka","27003",2004,"EQUATES",1566293.57
"Anoka","27003",2005,"EQUATES",1595354.23
"Anoka","27003",2006,"EQUATES",1623075.52
"Anoka","27003",2007,"EQUATES",1689015.1
"Anoka","27003",2008,"EQUATES",1658842.92
"Anoka","27003",2009,"EQUATES",1626424.94
"Anoka","27003",2010,"EQUATES",1626098.84
"Anoka","27003",2011,"EQUATES",1607808.3
"Anoka","27003",2012,"EQUATES",1640878.02
"Anoka","27003",2013,"EQUATES",1653726.51
"Anoka","27003",2014,"EQUATES",1644089.92
"Anoka","27003",2015,"EQUATES",1644317.13
"Anoka","27003",2016,"EQUATES",1645243.42
"Anoka","27003",2017,"EQUATES",1640083.84
"Anoka","27003",2018,"EQUATES",1624441.31
"Anoka","27003",2019,"EQUATES",1595602.91
"Anoka","27003",2020,"National Emissions Inventory",1373556.33
"Anoka","27003",2021,"Air Emissions Modeling",1528216.17
"Anoka","27003",2022,"Air Emissions Modeling",1696154.91
"Anoka","27003",2023,"National Emissions Inventory",1551043.6
"Anoka","27003",2024,"Interpolation",1521746.25
"Anoka","27003",2025,"Interpolation",1492448.9
"Anoka","27003",2026,"Interpolation",1463151.55
"Anoka","27003",2027,"Interpolation",1433854.2
"Anoka","27003",2028,"Interpolation",1404556.85
"Anoka","27003",2029,"Interpolation",1375259.49
"Anoka","27003",2030,"Interpolation",1345962.14
"Anoka","27003",2031,"Interpolation",1316664.79
"Anoka","27003",2032,"Interpolation",1287367.44
"Anoka","27003",2033,"Interpolation",1258070.09
"Anoka","27003",2034,"Interpolation",1228772.73
"Anoka","27003",2035,"Interpolation",1199475.38
"Anoka","27003",2036,"Interpolation",1170178.03
"Anoka","27003",2037,"Interpolation",1140880.68
"Anoka","27003",2038,"Interpolation",1111583.33
"Anoka","27003",2039,"Interpolation",1082285.98
"Anoka","27003",2040,"Interpolation",1052988.62
"Anoka","27003",2041,"Interpolation",1023691.27
"Anoka","27003",2042,"Interpolation",994393.92
"Anoka","27003",2043,"Interpolation",965096.57
"Anoka","27003",2044,"Interpolation",935799.22
"Anoka","27003",2045,"Interpolation",906501.86
"Anoka","27003",2046,"Interpolation",877204.51
"Anoka","27003",2047,"Interpolation",847907.16
"Anoka","27003",2048,"Interpolation",818609.81
"Anoka","27003",2049,"Interpolation",789312.46
"Anoka","27003",2050,"RTDM and EPA MOVES4",760015.1
"Carver","27019",2002,"EQUATES",460952.93
"Carver","27019",2003,"EQUATES",470249.81
"Carver","27019",2004,"EQUATES",471794.37
"Carver","27019",2005,"EQUATES",481757.68
"Carver","27019",2006,"EQUATES",491198.4
"Carver","27019",2007,"EQUATES",499154.2
"Carver","27019",2008,"EQUATES",490215.63
"Carver","27019",2009,"EQUATES",480868.27
"Carver","27019",2010,"EQUATES",479818.19
"Carver","27019",2011,"EQUATES",475978.39
"Carver","27019",2012,"EQUATES",489197.77
"Carver","27019",2013,"EQUATES",469448.78
"Carver","27019",2014,"EQUATES",466702.86
"Carver","27019",2015,"EQUATES",467093.65
"Carver","27019",2016,"EQUATES",456901.28
"Carver","27019",2017,"EQUATES",456118.7
"Carver","27019",2018,"EQUATES",455063.23
"Carver","27019",2019,"EQUATES",443137.35
"Carver","27019",2020,"National Emissions Inventory",388798.22
"Carver","27019",2021,"Air Emissions Modeling",431417.4
"Carver","27019",2022,"Air Emissions Modeling",480884.07
"Carver","27019",2023,"National Emissions Inventory",453220.69
"Carver","27019",2024,"Interpolation",447015.42
"Carver","27019",2025,"Interpolation",440810.16
"Carver","27019",2026,"Interpolation",434604.89
"Carver","27019",2027,"Interpolation",428399.63
"Carver","27019",2028,"Interpolation",422194.36
"Carver","27019",2029,"Interpolation",415989.1
"Carver","27019",2030,"Interpolation",409783.84
"Carver","27019",2031,"Interpolation",403578.57
"Carver","27019",2032,"Interpolation",397373.31
"Carver","27019",2033,"Interpolation",391168.04
"Carver","27019",2034,"Interpolation",384962.78
"Carver","27019",2035,"Interpolation",378757.51
"Carver","27019",2036,"Interpolation",372552.25
"Carver","27019",2037,"Interpolation",366346.99
"Carver","27019",2038,"Interpolation",360141.72
"Carver","27019",2039,"Interpolation",353936.46
"Carver","27019",2040,"Interpolation",347731.19
"Carver","27019",2041,"Interpolation",341525.93
"Carver","27019",2042,"Interpolation",335320.66
"Carver","27019",2043,"Interpolation",329115.4
"Carver","27019",2044,"Interpolation",322910.14
"Carver","27019",2045,"Interpolation",316704.87
"Carver","27019",2046,"Interpolation",310499.61
"Carver","27019",2047,"Interpolation",304294.34
"Carver","27019",2048,"Interpolation",298089.08
"Carver","27019",2049,"Interpolation",291883.81
"Carver","27019",2050,"RTDM and EPA MOVES4",285678.55
"Chisago","27025",2002,"EQUATES",420249.71
"Chisago","27025",2003,"EQUATES",428160.02
"Chisago","27025",2004,"EQUATES",431342.38
"Chisago","27025",2005,"EQUATES",439955.76
"Chisago","27025",2006,"EQUATES",448421.84
"Chisago","27025",2007,"EQUATES",451860.87
"Chisago","27025",2008,"EQUATES",443305.9
"Chisago","27025",2009,"EQUATES",434858.79
"Chisago","27025",2010,"EQUATES",431177.88
"Chisago","27025",2011,"EQUATES",426899.84
"Chisago","27025",2012,"EQUATES",438476.4
"Chisago","27025",2013,"EQUATES",419054.71
"Chisago","27025",2014,"EQUATES",416175.85
"Chisago","27025",2015,"EQUATES",416805.04
"Chisago","27025",2016,"EQUATES",420613.12
"Chisago","27025",2017,"EQUATES",419701.77
"Chisago","27025",2018,"EQUATES",413769.64
"Chisago","27025",2019,"EQUATES",405606.44
"Chisago","27025",2020,"National Emissions Inventory",364036.86
"Chisago","27025",2021,"Air Emissions Modeling",407191.15
"Chisago","27025",2022,"Air Emissions Modeling",433842.58
"Chisago","27025",2023,"National Emissions Inventory",433917.48
"Chisago","27025",2024,"Interpolation",431517.93
"Chisago","27025",2025,"Interpolation",429118.37
"Chisago","27025",2026,"Interpolation",426718.82
