scc6_new,scc_level_one,scc_level_two,scc_level_three,fuel_type_detect,scc6_desc,alt_mode,alt_mode_truck,scc6_desc_manual,scc6_desc_broad
220100,Mobile Sources,Highway Vehicles - Gasoline,Light Duty Gasoline Vehicles (LDGV),Gasoline,NA,Passenger cars,Passenger cars,Gasoline; Passenger cars,Gasoline; Passenger cars
220102,Mobile Sources,Highway Vehicles - Gasoline,Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5),Gasoline,NA,Passenger trucks,Passenger trucks,Gasoline; Passenger trucks,Gasoline; Trucks
220104,Mobile Sources,Highway Vehicles - Gasoline,Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5),Gasoline,NA,Light commercial trucks,Trucks,Gasoline; Light commercial trucks,Gasoline; Trucks
220107,Mobile Sources,Highway Vehicles - Gasoline,Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV),Gasoline,NA,Trucks,Trucks,Gasoline; Heavy duty gasoline vehicles 2b thru 8b & buses (hdgv),Gasoline; Trucks
220108,Mobile Sources,Highway Vehicles - Gasoline,Motorcycles (MC),Gasoline,NA,Motorcycles,Motorcycles,Gasoline; Motorcycles,Gasoline; Motorcycles
220111,Mobile Sources,Highway Vehicles - Gasoline,Motorcycle,Gasoline,Gasoline; Motorcycles,Motorcycles,Motorcycles,Gasoline; Motorcycle,Gasoline; Motorcycle
220121,Mobile Sources,Highway Vehicles - Gasoline,Passenger Car,Gasoline,Gasoline; Passenger cars,Passenger cars,Passenger cars,Gasoline; Passenger cars,Gasoline; Passenger cars
220131,Mobile Sources,Highway Vehicles - Gasoline,Passenger Truck,Gasoline,Gasoline; Passenger trucks,Passenger trucks,Passenger trucks,Gasoline; Passenger trucks,Gasoline; Passenger trucks
220132,Mobile Sources,Highway Vehicles - Gasoline,Light Commercial Truck,Gasoline,Gasoline; Light commercial trucks,Light commercial trucks,Trucks,Gasoline; Light commercial trucks,Gasoline; Trucks
220141,Mobile Sources,Highway Vehicles - Gasoline,Other Buses,Gasoline,Gasoline; Intercity buses,Other buses,Buses,Gasoline; Intercity buses,Gasoline; Buses
220142,Mobile Sources,Highway Vehicles - Gasoline,Transit Bus,Gasoline,Gasoline; Transit buses,Transit buses,Buses,Gasoline; Transit buses,Gasoline; Buses
220143,Mobile Sources,Highway Vehicles - Gasoline,School Bus,Gasoline,Gasoline; School buses,School buses,Buses,Gasoline; School buses,Gasoline; Buses
220151,Mobile Sources,Highway Vehicles - Gasoline,Refuse Truck,Gasoline,Gasoline; Refuse trucks,Refuse trucks,Trucks,Gasoline; Refuse trucks,Gasoline; Trucks
220152,Mobile Sources,Highway Vehicles - Gasoline,Single Unit Short-haul Truck,Gasoline,Gasoline; Single unit short-haul trucks,Single unit short-haul trucks,Trucks,Gasoline; Single unit short-haul trucks,Gasoline; Trucks
220153,Mobile Sources,Highway Vehicles - Gasoline,Single Unit Long-haul Truck,Gasoline,Gasoline; Single unit long-haul trucks,Single unit long-haul trucks,Trucks,Gasoline; Single unit long-haul trucks,Gasoline; Trucks
220154,Mobile Sources,Highway Vehicles - Gasoline,Motor Home,Gasoline,Gasoline; Motor homes,Motor homes,Motor homes,Gasoline; Motor homes,Gasoline; Motor homes
220161,Mobile Sources,Highway Vehicles - Gasoline,Combination Short-haul Truck,Gasoline,Gasoline; Combination short-haul trucks,Combination short-haul trucks,Trucks,Gasoline; Combination short-haul trucks,Gasoline; Trucks
220221,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,Diesel,Diesel; Passenger cars,Passenger cars,Passenger cars,Diesel; Passenger cars,Diesel; Passenger cars
220231,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,Diesel,Diesel; Passenger trucks,Passenger trucks,Passenger trucks,Diesel; Passenger trucks,Diesel; Passenger trucks
220232,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,Diesel,Diesel; Light commercial trucks,Light commercial trucks,Trucks,Diesel; Light commercial trucks,Gasoline; Trucks
220241,Mobile Sources,Highway Vehicles - Diesel,Other Buses,Diesel,Diesel; Intercity buses,Other buses,Buses,Diesel; Other buses,Diesel; Buses
220242,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,Diesel,Diesel; Transit buses,Transit buses,Buses,Diesel; Transit buses,Diesel; Buses
220243,Mobile Sources,Highway Vehicles - Diesel,School Bus,Diesel,Diesel; School buses,School buses,Buses,Diesel; School buses,Diesel; Buses
220251,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,Diesel,Diesel; Refuse trucks,Refuse trucks,Trucks,Diesel; Refuse trucks,Diesel; Trucks
220252,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,Diesel,Diesel; Single unit short-haul trucks,Single unit short-haul trucks,Trucks,Diesel; Single unit short-haul trucks,Diesel; Trucks
220253,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,Diesel,Diesel; Single unit long-haul trucks,Single unit long-haul trucks,Trucks,Diesel; Single unit long-haul trucks,Diesel; Trucks
220254,Mobile Sources,Highway Vehicles - Diesel,Motor Home,Diesel,Diesel; Motor homes,Motor homes,Motor homes,Diesel; Motor homes,Diesel; Motor homes
220261,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,Diesel,Diesel; Combination short-haul trucks,Combination short-haul trucks,Trucks,Diesel; Combination short-haul trucks,Diesel; Trucks
220262,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,Diesel,Diesel; Combination long-haul trucks,Combination long-haul trucks,Trucks,Diesel; Combination long-haul trucks,Diesel; Trucks
220341,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Other Buses,Compressed natural gas (CNG),Compressed natural gas (CNG); Intercity buses,Other buses,Buses,Compressed natural gas (CNG); Intercity buses,Compressed natural gas (CNG); Buses
220342,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Transit Bus,Compressed natural gas (CNG),Compressed natural gas (CNG); Transit buses,Transit buses,Buses,Compressed natural gas (CNG); Transit buses,Diesel; Buses
220343,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),School Bus,Compressed natural gas (CNG),Compressed natural gas (CNG); School buses,School buses,Buses,Compressed natural gas (CNG); School buses,Compressed natural gas (CNG); Buses
220351,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Refuse Truck,Compressed natural gas (CNG),Compressed natural gas (CNG); Refuse trucks,Refuse trucks,Trucks,Compressed natural gas (CNG); Refuse trucks,Compressed natural gas (CNG); Trucks
220352,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Short-haul Truck,Compressed natural gas (CNG),Compressed natural gas (CNG); Single unit short-haul trucks,Single unit short-haul trucks,Trucks,Compressed natural gas (CNG); Single unit short-haul trucks,Compressed natural gas (CNG); Trucks
220353,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,Compressed natural gas (CNG),Compressed natural gas (CNG); Single unit long-haul trucks,Single unit long-haul trucks,Trucks,Compressed natural gas (CNG); Single unit long-haul trucks,Compressed natural gas (CNG); Trucks
220361,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,Compressed natural gas (CNG),Compressed natural gas (CNG); Combination short-haul trucks,Combination short-haul trucks,Trucks,Compressed natural gas (CNG); Combination short-haul trucks,Compressed natural gas (CNG); Trucks
220521,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,Ethanol (E-85),Ethanol (E-85); Passenger cars,Passenger cars,Passenger cars,Ethanol (E-85); Passenger cars,Ethanol (E-85); Passenger cars
220531,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Truck,Ethanol (E-85),Ethanol (E-85); Passenger trucks,Passenger trucks,Passenger trucks,Ethanol (E-85); Passenger trucks,Ethanol (E-85); Passenger trucks
220532,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,Ethanol (E-85),Ethanol (E-85); Light commercial trucks,Light commercial trucks,Trucks,Ethanol (E-85); Light commercial trucks,Ethanol (E-85); Trucks
220921,Mobile Sources,Highway Vehicles - Electricity,Passenger Car,Electric,Electric; Passenger cars,Passenger cars,Passenger cars,Electric; Passenger cars,Electric; Passenger cars
220931,Mobile Sources,Highway Vehicles - Electricity,Passenger Truck,Electric,Electric; Passenger trucks,Passenger trucks,Passenger trucks,Electric; Passenger trucks,Electric; Passenger trucks
220932,Mobile Sources,Highway Vehicles - Electricity,Light Commercial Truck,Electric,Electric; Light commercial trucks,Light commercial trucks,Trucks,Electric; Light commercial trucks,Electric; Trucks
223000,Mobile Sources,Highway Vehicles - Diesel,Light Duty Diesel Vehicles (LDDV),Diesel,NA,Passenger cars,Passenger cars,Diesel; Passenger cars,Diesel; Passenger cars
223006,Mobile Sources,Highway Vehicles - Diesel,Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT),Diesel,NA,Passenger trucks,Passenger trucks,Diesel; Passenger trucks,Diesel; Passenger trucks
223007,Mobile Sources,Highway Vehicles - Diesel,Heavy Duty Diesel Buses (School & Transit),Diesel,NA,Transit buses,Buses,Diesel; Heavy duty diesel buses (school & transit),Diesel; Buses
223007,Mobile Sources,Highway Vehicles - Diesel,Heavy Duty Diesel Vehicles (HDDV) Class 2B,Diesel,NA,Trucks,Trucks,Diesel; Heavy duty diesel vehicles (hddv) class 2b,Diesel; Trucks
223007,Mobile Sources,Highway Vehicles - Diesel,"Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5",Diesel,NA,Trucks,Trucks,"Diesel; Heavy duty diesel vehicles (hddv) class 3, 4, & 5",Diesel; Trucks
223007,Mobile Sources,Highway Vehicles - Diesel,Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7,Diesel,NA,Trucks,Trucks,Diesel; Heavy duty diesel vehicles (hddv) class 6 & 7,Diesel; Trucks
223007,Mobile Sources,Highway Vehicles - Diesel,Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B,Diesel,NA,Trucks,Trucks,Diesel; Heavy duty diesel vehicles (hddv) class 8a & 8b,Diesel; Trucks
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Agricultural Equipment,Gasoline,NA,Agricultural equipment,Agricultural equipment,Gasoline; Agricultural equipment,Gasoline; Agricultural equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Agricultural Equipment,Gasoline,NA,Agricultural equipment,Agricultural equipment,Gasoline; Agricultural equipment,Gasoline; Agricultural equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Commercial Equipment,Gasoline,NA,Commercial equipment,Commercial equipment,Gasoline; Commercial equipment,Gasoline; Commercial equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Commercial Equipment,Gasoline,NA,Commercial equipment,Commercial equipment,Gasoline; Commercial equipment,Gasoline; Commercial equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Commercial Equipment,Gasoline,NA,Commercial equipment,Commercial equipment,Gasoline; Commercial equipment,Gasoline; Commercial equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Construction and Mining Equipment,Gasoline,NA,Construction and mining equipment,Construction and mining equipment,Gasoline; Construction and mining equipment,Gasoline; Construction and mining equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Construction Equipment,Gasoline,NA,Construction equipment,Construction equipment,Gasoline; Construction equipment,Gasoline; Construction equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Industrial Equipment,Gasoline,NA,Industrial equipment,Industrial equipment,Gasoline; Industrial equipment,Gasoline; Industrial equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Industrial Equipment,Gasoline,NA,Industrial equipment,Industrial equipment,Gasoline; Industrial equipment,Gasoline; Industrial equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Lawn and Garden Equipment,Gasoline,NA,Lawn and garden equipment,Lawn and garden equipment,Gasoline; Lawn and garden equipment,Gasoline; Lawn and garden equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Lawn and Garden Equipment,Gasoline,NA,Lawn and garden equipment,Lawn and garden equipment,Gasoline; Lawn and garden equipment,Gasoline; Lawn and garden equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Logging Equipment,Gasoline,NA,Logging equipment,Logging equipment,Gasoline; Logging equipment,Gasoline; Logging equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Logging Equipment,Gasoline,NA,Logging equipment,Logging equipment,Gasoline; Logging equipment,Gasoline; Logging equipment
226000,Mobile Sources,"Off-highway Vehicle Gasoline, 2-Stroke",Recreational Equipment,Gasoline,NA,Recreational equipment,Recreational equipment,Gasoline; Recreational equipment,Gasoline; Recreational equipment
226000,Mobile Sources,Off-highway Vehicle Gasoline,Recreational Equipment,Gasoline,NA,Recreational equipment,Recreational equipment,Gasoline; Recreational equipment,Gasoline; Recreational equipment
