Year,County,Landfill,WTE,Onsite,MSW_Compost,Organics,Recycling,Recycling_Rate
1991,Aitkin,0,2150,1189.5715,2950,0,705.8059,0.100896043
1992,Aitkin,1094,1133,1191.2505,659.5,0,932.3807,0.186099059
1993,Aitkin,364,2755,1133.325,22,0,1091.325754,0.203391127
1994,Aitkin,3331,0,1133.325,0,0,1035.179108,0.188231355
1995,Aitkin,4076,265,629.625,0,0,1420.15,0.222218745
1996,Aitkin,4295,250,419.75,0,0,1969.54,0.284029079
1997,Aitkin,2401,0,419.75,1741,0,2262.683525,0.331556241
1998,Aitkin,3729,0,419.75,0,0,1829.394002,0.306013706
1999,Aitkin,3555,0,419.75,0,0,1732.221425,0.303527264
2000,Aitkin,5670,0,419.75,0,0,2372.435735,0.280357323
2001,Aitkin,7340,0,419.75,0,0,3338.532196,0.30081522
2002,Aitkin,7479,0,419.75,0,0,2542.219997,0.24348504
2003,Aitkin,7320.66,0,203.57875,0,0,3249.921501,0.301640353
2004,Aitkin,7957,0,274.93625,0,0,2544.145445,0.236091885
2005,Aitkin,8046,0,274.93625,0,0,2932.601724,0.260593756
2006,Aitkin,9281,0,274.93625,0,0,2271.95,0.192084194
2007,Aitkin,9528.5,0,274.93625,0,0,2558.15,0.206943506
2008,Aitkin,8385.55,0,274.93625,0,0,2620.480001,0.232292159
2009,Aitkin,8907,0,274.93625,0,0,2684.15,0.22620348
2010,Aitkin,9157.65,0,274.93625,0,0,2313.95199,0.196990121
2011,Aitkin,9241.23,0,274.93625,0,0,2489.149875,0.207337304
2012,Aitkin,10055.36,0,274.93625,0,0,2759.390004,0.210806428
2013,Aitkin,8727.29,0,274.93625,0,0,2891.859995,0.243134272
2014,Aitkin,8828,0,274.94,0,0,3178.99,0.258834727
2015,Aitkin,7964,0,274.94,0,21,2967.85,0.266201096
2016,Aitkin,9556,0,274.94,0,0,3304.92,0.251595251
2017,Aitkin,9212.53,0,274.93625,0,210,3523.47,0.282390742
2018,Aitkin,7619.21,0,274.93625,0,43,3339.32,0.299945029
2019,Aitkin,8479.08,0,293.825,0,325,3738.95,0.316584553
2020,Aitkin,9776.7,0,293.825,0,10,2962.62,0.22790669
2021,Aitkin,11244.84,0,293.825,0,28,3041.96,0.210147088
2022,Aitkin,8846.3,0,293.825,0,4.55,3301.29,0.265615402
2023,Aitkin,10139.49,0,293.825,0,8.66,3091.55,0.229076312
1991,Anoka,0,129567,0,0,0,24071.75606,0.156677629
1992,Anoka,0,131149,0,0,0,26255.55838,0.166803037
1993,Anoka,0,134787,0,0,0,29099.99694,0.177561353
1994,Anoka,4104,133189,0,0,3797,37952.73753,0.233183083
1995,Anoka,4000,140678,0,0,3017.56,90649.68,0.392989766
1996,Anoka,28371,113200,0,0,4218.13,94037.77,0.409695076
1997,Anoka,31242.7,116585,0,0,6871.78,103323.7537,0.427076012
1998,Anoka,34774.4,118610,0,0,7201.23,109265.2054,0.431595608
1999,Anoka,42828.35,118907,0,0,10972.29,112061.232,0.432046948
2000,Anoka,35437.07,125531,0,0,0,128899.5387,0.444684176
2001,Anoka,41678.35,115604.91,0,0,164.85,66333.85003,0.297158448
2002,Anoka,69356,120612,0,0,3755.03,134107.762,0.420530333
2003,Anoka,69849.88,115321.65,0,0,3441.54,62309.69808,0.262037752
2004,Anoka,51904.76,131532.72,0,0,7555.82,132904.4553,0.433656217
2005,Anoka,57614.46,129023.43,0,0,2891.49,82016.18585,0.312682977
2006,Anoka,68577.12,114431.88,0,0,3484.77,143133.1008,0.444799511
2007,Anoka,61130.97,120161.09,0,0,2805.67,83834.90065,0.323366999
2008,Anoka,50023.19,129466.81,0,0,2781.72,80559.56237,0.317090422
