Aqsid Poc,Chart Name,DV Valid,DV Year,Latitude1,Longitude1,Pollutant and Averaging Time,Standards Unit,Validity Notes,Primary Standard,Secondary Standard,Max. DV
27-003-1002,Blaine (1002-3),Yes,2023,45.13767954,-93.20761498,PM10 daily background for modeling-  smoke/dust removed,ug/m3,,150,150,
27-053-0909,Minneapolis (0909-3),Yes,2023,45.012102,-93.276699,PM10 daily background for modeling-  smoke/dust removed,ug/m3,,150,150,
27-053-1909,Minneapolis (1909-3),Yes,2023,45.013611,-93.272049,PM10 daily background for modeling-  smoke/dust removed,ug/m3,,150,150,
27-137-0032,Duluth (0032-2),Yes,2023,46.75154,-92.14127,PM10 daily background for modeling-  smoke/dust removed,ug/m3,,150,150,
27-137-7001,Virginia (7001-1),Yes,2023,47.523355,-92.536305,PM10 daily background for modeling-  smoke/dust removed,ug/m3,,150,150,
27-003-1002,Blaine (1002-3),Yes,2021,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-003-1002,Blaine (1002-3),Yes,2022,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-003-1002-3,Blaine (1002-3),Yes,2017,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-003-1002-3,Blaine (1002-3),Yes,2018,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-003-1002-3,Blaine (1002-3),Yes,2019,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-003-1002-3,Blaine (1002-3),Yes,2020,45.13767954,-93.20761498,PM10: daily,estimated exceedance days,,1,1,0
27-037-0020,FHR- Rosemount (0020),Yes,2021,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0020,FHR- Rosemount (0020),Yes,2022,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0020,FHR- Rosemount (0020),Yes,2023,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0423,FHR- Inver Grove Heights (0423),Yes,2020,44.77553,-93.06299,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0423,FHR- Inver Grove Heights (0423),Yes,2021,44.77553,-93.06299,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0423,FHR- Inver Grove Heights (0423),Yes,2022,44.77553,-93.06299,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0423,FHR- Inver Grove Heights (0423),Yes,2023,44.77553,-93.06299,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0470,Apple Valley (0470),Yes,2018,44.73846,-93.23725,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0470,Apple Valley (0470),Yes,2021,44.73846,-93.23725,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0470,Apple Valley (0470),Yes,2022,44.73846,-93.23725,Lead: 3-month,ug/m3,,0.15,0.15,0
27-037-0470,Apple Valley (0470),Yes,2023,44.73846,-93.23725,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0909,Minneapolis (0909-3),Yes,2021,45.012102,-93.276699,PM10: daily,estimated exceedance days,,1,1,0
27-053-0909,Minneapolis (0909-3),Yes,2022,45.012102,-93.276699,PM10: daily,estimated exceedance days,,1,1,0
27-053-0910,Minneapolis (0910-3),Yes,2021,45.008297,-93.277041,PM10: daily,estimated exceedance days,,1,1,0
27-053-0962,Minneapolis (0962),Yes,2017,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0962,Minneapolis (0962),Yes,2018,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0
